frame_idx,x1,y1,x2,y2
3,978,509,1174,998
3_aug00,175,52,373,557
3_aug01,185,541,376,1016
4,864,470,1068,1000
4_aug00,264,496,466,1019
4_aug01,929,407,1173,920
5,832,452,1047,1006
5_aug00,799,118,996,630
5_aug01,788,417,1017,934
6,811,448,1024,967
6_aug00,732,37,970,584
6_aug01,353,405,589,891
7,823,458,1031,987
7_aug00,773,49,1014,626
7_aug01,764,34,985,581
8,965,539,1155,1004
8_aug00,999,567,1180,1007
8_aug01,943,621,1160,1080
9,1059,602,1218,1012
9_aug00,177,27,390,409
9_aug01,1098,513,1257,897
10,1075,700,1235,1076
10_aug00,1038,49,1184,414
10_aug01,175,0,346,301
11,1020,718,1178,1080
11_aug00,111,647,292,1025
11_aug01,1042,2,1192,332
12,1019,714,1180,1080
12_aug00,133,708,293,1080
12_aug01,1115,611,1288,1021
13,1024,723,1174,1080
13_aug00,162,667,302,1004
13_aug01,139,689,290,1060
14,1039,720,1178,1066
14_aug00,170,610,302,925
14_aug01,1129,675,1273,1026
15,1037,711,1183,1080
15_aug00,1121,685,1260,1051
15_aug01,261,713,404,1028
16,1024,723,1174,1080
16_aug00,1025,813,1170,1080
16_aug01,1132,674,1276,1048
17,1021,767,1141,1019
17_aug00,1042,122,1159,364
17_aug01,1043,744,1167,1005
18,1142,775,1244,980
18_aug00,1090,807,1193,989
18_aug01,1237,182,1345,393
19,1165,794,1266,975
19_aug00,122,756,216,928
19_aug01,1114,784,1206,947
26,943,629,1086,977
26_aug00,165,545,349,925
26_aug01,841,636,973,950
27,894,625,1060,1006
27_aug00,267,650,435,1027
27_aug01,278,580,472,990
28,882,633,1035,955
28_aug00,909,624,1080,925
28_aug01,326,610,474,921
29,736,568,892,937
29_aug00,749,571,869,915
29_aug01,788,601,950,961
30,722,548,884,969
30_aug00,527,526,676,924
30_aug01,686,557,839,970
31,710,593,872,913
31_aug00,559,620,703,939
31_aug01,722,195,872,488
32,715,586,868,878
32_aug00,536,562,679,839
32_aug01,716,589,888,884
33,693,589,856,988
33_aug00,706,613,882,1007
33_aug01,487,621,643,985
34,701,584,854,953
34_aug00,492,575,674,966
34_aug01,749,534,953,917
35,710,591,869,941
35_aug00,678,620,810,955
35_aug01,695,613,874,977
36,699,603,865,965
36_aug00,436,630,648,1012
36_aug01,663,628,837,993
37,678,595,834,927
37_aug00,462,623,645,964
37_aug01,616,583,755,909
38,681,582,847,905
38_aug00,413,198,617,528
38_aug01,498,607,648,906
39,680,603,847,989
39_aug00,730,571,901,932
39_aug01,722,615,940,1017
40,678,631,859,1015
40_aug00,589,627,759,1031
40_aug01,694,650,901,988
41,663,618,881,1079
41_aug00,604,607,798,1048
41_aug01,574,584,754,1006
42,616,663,799,871
42_aug00,581,711,758,924
42_aug01,584,203,754,402
43,651,668,884,1079
43_aug00,670,13,896,413
43_aug01,668,688,890,1080
44,768,552,1017,1080
44_aug00,771,519,1056,1036
44_aug01,448,595,661,1057
45,767,513,1042,1075
45_aug00,327,541,586,1080
45_aug01,776,501,1031,1036
46,768,530,1056,1070
46_aug00,811,490,1135,1052
46_aug01,749,22,1094,566
47,770,532,1050,1080
47_aug00,304,472,642,1030
47_aug01,299,537,579,1072
48,745,526,1020,1068
48_aug00,338,528,602,1072
48_aug01,336,571,626,1080
49,752,525,1028,1077
49_aug00,740,13,986,538
49_aug01,811,481,1168,1052
50,749,528,1033,1075
50_aug00,722,491,1014,978
50_aug01,279,520,640,1080
