frame_idx,x1,y1,x2,y2
0,7,0,668,1080
0_aug00,696,11,1368,1080
0_aug01,79,20,794,982
1,6,0,566,954
1_aug00,19,75,491,971
1_aug01,0,0,636,827
2,6,0,552,1046
2_aug00,710,61,1299,948
2_aug01,35,0,663,929
3,9,0,552,928
3_aug00,774,0,1361,813
3_aug01,53,13,676,858
4,8,0,516,941
4_aug00,0,0,462,973
4_aug01,794,0,1374,810
5,7,0,500,927
5_aug00,79,274,646,1023
5_aug01,54,0,520,911
6,6,0,539,1044
6_aug00,0,6,488,1080
6_aug01,0,61,478,1046
7,9,0,517,1080
7_aug00,53,0,520,1048
7_aug01,886,46,1361,1038
8,0,0,373,763
8_aug00,939,0,1342,688
8_aug01,0,246,322,1080
11,315,310,698,752
11_aug00,311,345,705,714
11_aug01,664,246,1025,725
12,453,607,811,951
12_aug00,422,652,778,986
12_aug01,466,598,837,967
13,169,277,783,1002
13_aug00,153,296,808,1052
13_aug01,122,100,730,867
14,168,212,775,858
14_aug00,141,160,705,819
14_aug01,551,247,1257,867
18,11,0,400,994
18_aug00,49,28,501,933
18_aug01,64,134,451,1044
19,10,0,394,1080
19_aug00,1068,54,1380,1048
19_aug01,93,70,478,1069
20,11,0,434,968
20_aug00,1008,54,1380,1031
20_aug01,861,0,1330,871
21,8,0,444,977
21_aug00,46,30,384,1079
21_aug01,948,48,1352,1046
22,5,0,516,996
22_aug00,99,6,581,943
22_aug01,40,0,539,906
23,6,0,562,1073
23_aug00,0,28,540,1080
23_aug01,2,88,479,1080
24,12,0,759,1080
24_aug00,952,12,1380,1080
24_aug01,7,0,551,1044
25,7,0,539,973
25_aug00,0,17,438,1073
25_aug01,928,60,1356,1015
26,8,0,505,1042
26_aug00,24,10,476,1080
26_aug01,16,0,580,906
27,6,0,438,913
27_aug00,1012,80,1380,1066
27_aug01,955,84,1343,938
28,11,0,423,904
28_aug00,904,0,1290,849
28_aug01,88,135,423,1003
38,6,0,333,725
38_aug00,1065,0,1380,618
38_aug01,1040,85,1370,641
39,11,0,424,721
39_aug00,34,118,372,812
39_aug01,836,480,1363,1067
40,12,0,508,900
40_aug00,64,177,477,1044
40_aug01,916,160,1371,1028
41,10,0,500,909
41_aug00,12,17,537,833
41_aug01,40,0,524,873
42,10,0,430,933
42_aug00,54,0,483,910
42_aug01,951,123,1279,1018
43,10,1,471,944
43_aug00,0,0,409,996
43_aug01,0,233,526,1080
44,12,0,422,958
44_aug00,927,212,1380,1080
44_aug01,0,316,424,1080
45,10,0,391,978
45_aug00,71,32,479,847
45_aug01,990,0,1380,902
46,12,1,491,986
46_aug00,875,0,1343,1019
46_aug01,45,28,608,923
47,12,0,582,1005
47_aug00,0,0,638,886
47_aug01,718,22,1363,972
48,6,0,668,1080
48_aug00,702,0,1343,1022
48_aug01,692,0,1379,1045
49,12,1,671,1080
49_aug00,628,18,1332,969
49_aug01,0,46,654,1035
50,7,0,705,1077
50_aug00,25,45,716,986
50_aug01,0,0,708,1031
51,10,0,689,1077
51_aug00,813,0,1380,1046
51_aug01,36,43,802,1044
52,8,0,701,1078
52_aug00,15,1,701,980
52_aug01,0,0,700,1030
53,9,0,632,1078
53_aug00,39,75,572,1046
53_aug01,662,23,1351,1062
54,7,0,687,1080
54_aug00,51,17,782,1049
54_aug01,34,0,770,1052
55,9,0,660,1078
55_aug00,0,23,590,1080
55_aug01,29,0,675,1070
56,7,0,666,1077
56_aug00,57,72,681,1080
56_aug01,30,45,679,988
57,8,0,679,1080
57_aug00,54,41,791,1071
57_aug01,75,73,696,1068
58,8,0,679,1080
58_aug00,44,43,705,1005
58_aug01,680,67,1304,1071
59,0,0,728,1075
59_aug00,0,0,654,1023
59_aug01,0,0,699,1047
60,10,0,779,1079
60_aug00,603,70,1343,1069
60_aug01,637,4,1319,1034
61,8,0,814,1079
61_aug00,585,0,1324,1043
61_aug01,18,20,860,1080
62,10,0,847,1080
62_aug00,16,0,840,1052
62_aug01,19,64,856,1055
65,345,29,1258,942
65_aug00,83,5,1117,980
65_aug01,60,4,1035,959
69,775,0,1032,501
69_aug00,675,33,936,508
69_aug01,703,0,996,458
70,608,0,924,448
70_aug00,493,19,814,453
70_aug01,375,44,700,485
71,8,0,679,1080
71_aug00,588,16,1330,1049
71_aug01,639,6,1312,1020
72,7,0,722,1080
72_aug00,733,0,1380,1045
72_aug01,0,0,662,1069
