frame_idx,x1,y1,x2,y2
0,202,10,688,309
0_aug00,182,16,693,312
0_aug01,71,23,562,310
1,111,10,527,275
1_aug00,184,12,575,265
1_aug01,94,0,525,261
2,170,11,659,294
2_aug00,48,5,507,275
2_aug01,185,49,647,322
3,78,10,391,285
3_aug00,74,2,423,262
3_aug01,361,4,663,296
4,62,11,406,266
4_aug00,13,3,341,275
4_aug01,94,25,422,273
5,131,11,553,275
5_aug00,91,17,533,286
5_aug01,177,422,559,667
6,329,12,688,361
6_aug00,326,315,663,664
6_aug01,310,404,665,720
7,395,10,688,393
7_aug00,0,34,274,422
7_aug01,415,62,681,431
8,244,11,683,353
8_aug00,243,12,664,332
8_aug01,49,15,478,344
9,115,10,487,320
9_aug00,94,409,497,720
9_aug01,147,27,545,346
10,133,11,530,325
10_aug00,121,19,524,342
10_aug01,135,21,570,341
11,151,11,576,329
11_aug00,126,0,589,317
11_aug01,186,22,570,312
12,209,10,652,353
12_aug00,262,329,666,659
12_aug01,63,20,512,377
13,164,10,639,293
13_aug00,173,34,629,319
13_aug01,181,63,618,327
14,229,12,682,373
14_aug00,41,10,465,385
14_aug01,242,6,700,395
15,279,10,688,400
15_aug00,258,28,643,397
15_aug01,0,1,403,419
16,340,45,688,419
16_aug00,360,63,700,476
16_aug01,0,42,335,452
17,348,46,688,438
17_aug00,11,96,331,467
17_aug01,5,321,345,689
18,230,11,679,387
18_aug00,17,27,430,398
18_aug01,256,316,664,674
19,189,11,651,373
19_aug00,168,12,626,377
19_aug01,24,28,521,395
20,166,9,624,374
20_aug00,180,13,664,392
20_aug01,110,10,535,351
21,170,10,629,350
21_aug00,57,0,536,336
21_aug01,106,4,568,346
22,175,10,629,346
22_aug00,95,40,520,372
22_aug01,86,41,502,349
23,170,10,631,351
23_aug00,24,0,508,333
23_aug01,132,12,567,340
24,119,10,542,279
24_aug00,99,0,547,265
24_aug01,79,459,498,720
25,173,9,629,352
25_aug00,42,20,526,397
25_aug01,77,0,567,332
26,159,12,611,349
26_aug00,116,0,598,307
26_aug01,117,0,572,328
27,164,10,586,340
27_aug00,116,0,558,315
27_aug01,184,0,590,313
28,133,10,556,344
28_aug00,138,349,595,693
28_aug01,96,0,533,333
29,115,10,563,329
29_aug00,180,371,630,697
29_aug01,83,6,565,334
30,113,11,560,317
30_aug00,107,0,597,286
30_aug01,158,0,614,308
31,103,10,561,310
31_aug00,126,0,573,295
31_aug01,112,0,556,292
32,98,10,557,302
32_aug00,73,22,568,322
32_aug01,140,38,571,314
33,86,10,555,288
33_aug00,182,0,663,279
33_aug01,38,0,523,289
34,80,10,543,276
34_aug00,136,30,582,292
34_aug01,68,0,538,258
35,111,11,492,281
35_aug00,131,12,555,279
35_aug01,170,23,526,273
36,60,10,526,274
36_aug00,249,395,700,692
36_aug01,137,29,582,280
37,59,11,518,268
37_aug00,0,0,446,275
37_aug01,142,0,617,256
38,65,10,504,262
38_aug00,84,55,480,304
38_aug01,248,0,689,270
39,78,10,498,259
39_aug00,94,439,505,684
39_aug01,256,34,665,297
40,42,10,373,208
40_aug00,22,555,376,720
40_aug01,243,25,591,205
41,81,10,430,156
41_aug00,294,516,613,668
41_aug01,305,23,638,185
42,78,11,427,167
42_aug00,116,541,435,681
42_aug01,62,0,391,172
43,63,10,457,146
43_aug00,110,0,502,125
43_aug01,185,0,584,108
44,411,10,686,136
44_aug00,40,610,306,720
44_aug01,27,18,272,173
45,293,10,620,145
45_aug00,71,0,406,113
45_aug01,308,0,643,134
46,72,9,401,297
46_aug00,53,14,376,297
46_aug01,59,0,390,296
47,137,11,331,127
47_aug00,341,18,516,122
47_aug01,411,68,594,176
48,294,11,586,84
48_aug00,296,2,578,76
48_aug01,136,26,403,94
50,141,12,334,80
50_aug00,293,12,440,61
50_aug01,124,636,331,702
51,121,10,512,69
51_aug00,195,20,599,80
51_aug01,129,0,512,88
52,110,10,200,69
52_aug00,126,0,205,43
52_aug01,187,0,235,11
53,42,11,377,302
53_aug00,361,409,700,720
53_aug01,377,18,674,328
54,52,11,370,318
54_aug00,79,445,423,720
54_aug01,322,444,665,720
55,228,11,689,366
55_aug00,207,0,700,340
55_aug01,223,7,670,294
