frame_idx,x1,y1,x2,y2
9,346,646,529,709
9_aug00,399,637,594,699
9_aug01,298,669,486,720
10,254,355,491,512
10_aug00,399,342,644,515
10_aug01,245,339,466,478
11,278,327,548,547
11_aug00,385,340,641,550
11_aug01,291,357,548,568
12,248,188,551,428
12_aug00,333,306,658,564
12_aug01,232,179,553,438
14,309,103,678,407
14_aug00,291,100,645,392
14_aug01,328,106,651,380
15,122,213,378,433
15_aug00,583,308,866,548
15_aug01,538,226,776,439
16,112,10,548,338
16_aug00,73,8,527,342
16_aug01,51,0,500,342
17,191,141,481,394
17_aug00,482,319,774,575
17_aug01,470,207,727,430
18,223,10,543,244
18_aug00,368,14,725,242
18_aug01,192,19,516,271
19,262,89,575,333
19_aug00,273,56,592,305
19_aug01,377,102,689,346
20,185,47,458,281
20_aug00,212,57,485,291
20_aug01,242,433,497,652
21,219,122,505,384
21_aug00,181,311,465,583
21_aug01,226,89,511,350
22,219,162,511,398
22_aug00,458,139,769,389
22_aug01,273,172,540,393
23,211,137,514,386
23_aug00,452,121,757,372
23_aug01,244,122,547,370
25,211,140,512,391
25_aug00,410,127,732,393
25_aug01,261,124,560,376
26,212,139,519,390
26_aug00,407,142,718,402
26_aug01,444,309,769,580
27,211,139,515,386
27_aug00,218,162,514,401
27_aug01,444,167,719,391
28,211,140,515,393
28_aug00,394,110,723,379
28_aug01,215,102,536,373
29,215,140,517,387
29_aug00,379,136,705,406
29_aug01,439,355,719,587
30,211,140,514,392
30_aug00,169,316,496,589
30_aug01,421,160,726,422
31,211,140,518,387
31_aug00,392,152,714,415
31_aug01,187,348,505,610
32,209,142,524,393
32_aug00,200,152,496,390
32_aug01,400,117,737,396
33,54,10,544,429
33_aug00,43,30,534,433
33_aug01,119,37,577,416
34,172,10,633,381
34_aug00,201,315,622,655
34_aug01,223,38,672,405
36,97,10,540,429
36_aug00,138,0,594,400
36_aug01,421,18,867,444
37,55,312,296,548
37_aug00,70,371,328,618
37_aug01,656,264,909,508
39,64,222,377,528
39_aug00,82,161,392,460
39_aug01,93,238,388,532
40,54,143,362,469
40_aug00,8,96,347,447
40_aug01,70,80,390,404
42,53,10,600,505
42_aug00,50,34,587,559
42_aug01,327,16,829,495
44,139,181,500,473
44_aug00,443,209,766,478
44_aug01,420,182,792,483
45,104,36,544,426
45_aug00,372,12,841,428
45_aug01,129,83,539,447
47,109,109,416,386
47_aug00,86,326,386,613
47_aug01,59,74,388,369
48,119,10,482,253
48_aug00,467,8,841,277
48_aug01,447,477,812,720
49,138,126,394,375
49_aug00,127,80,401,347
49_aug01,500,130,754,377
50,132,46,450,331
50_aug00,462,383,805,688
50_aug01,158,366,447,624
51,105,58,455,385
51_aug00,81,46,430,371
51_aug01,138,38,497,368
52,55,45,349,377
52_aug00,655,36,930,402
52_aug01,634,89,910,438
53,139,22,496,332
53_aug00,490,335,858,676
53_aug01,161,64,468,356
54,161,87,449,334
54_aug00,416,42,701,290
54_aug01,490,91,779,336
55,115,34,442,305
55_aug00,69,35,416,324
55_aug01,486,6,821,288
56,131,127,391,365
56_aug00,120,114,404,376
56_aug01,490,136,743,355
58,131,23,405,261
58_aug00,135,421,376,651
58_aug01,522,7,815,268
59,132,163,372,385
59_aug00,104,166,368,413
59_aug01,94,137,350,374
60,79,68,332,322
60_aug00,572,446,859,716
60_aug01,109,56,368,301
