frame_idx,x1,y1,x2,y2
2,387,4,923,599
2_aug00,387,0,930,607
2_aug01,399,14,930,628
3,270,4,922,594
3_aug00,261,39,843,580
3_aug01,8,7,599,661
4,355,4,918,588
4_aug00,314,170,930,710
4_aug01,0,0,529,663
5,460,75,923,573
5_aug00,55,89,493,569
5_aug01,452,67,916,563
7,302,3,917,693
7_aug00,0,24,637,720
7_aug01,297,43,881,698
8,365,2,849,551
8_aug00,388,174,817,680
8_aug01,48,11,578,556
9,376,3,838,518
9_aug00,350,0,808,491
9_aug01,327,0,806,483
10,369,3,839,550
10_aug00,352,8,872,556
10_aug01,318,182,782,708
11,330,4,829,566
11_aug00,107,0,582,553
11_aug01,121,24,582,551
13,290,3,797,564
13_aug00,257,5,792,578
13_aug01,312,0,825,565
14,276,4,800,573
14_aug00,126,1,701,595
14_aug01,99,27,654,613
15,250,3,794,598
15_aug00,123,94,707,709
15_aug01,130,2,639,561
16,256,4,774,591
16_aug00,134,16,682,620
16_aug01,179,0,671,564
17,244,4,754,593
17_aug00,290,23,791,608
17_aug01,114,0,656,586
18,254,3,743,587
18_aug00,302,0,783,570
18_aug01,311,40,777,596
19,253,4,723,572
19_aug00,218,15,727,593
19_aug01,236,164,744,720
20,254,103,673,576
20_aug00,276,103,670,566
20_aug01,232,115,664,571
21,265,124,680,563
21_aug00,280,130,670,521
21_aug01,288,203,671,594
22,264,134,647,569
22_aug00,229,117,653,570
22_aug01,263,117,646,554
24,248,142,634,581
24_aug00,206,137,600,574
24_aug01,276,135,668,552
25,245,142,633,585
25_aug00,285,188,667,593
25_aug01,182,110,622,591
26,249,144,621,578
26_aug00,268,153,657,578
26_aug01,321,144,712,593
27,254,132,609,571
27_aug00,227,128,606,589
27_aug01,321,185,649,591
28,257,130,614,569
28_aug00,325,137,694,567
28_aug01,274,101,640,556
29,259,126,611,569
29_aug00,253,163,578,573
29_aug01,267,121,644,610
30,268,111,618,551
30_aug00,262,115,591,537
30_aug01,324,128,678,557
31,261,95,614,543
31_aug00,350,135,689,562
31_aug01,317,64,655,516
32,270,102,624,547
32_aug00,301,100,675,556
32_aug01,245,88,597,531
33,278,111,623,553
33_aug00,279,88,643,541
33_aug01,254,130,597,551
36,527,545,781,717
36_aug00,555,39,779,214
36_aug01,153,564,421,720
37,386,605,677,714
37_aug00,209,588,472,716
37_aug01,364,606,644,716
38,379,393,768,715
38_aug00,142,384,533,720
38_aug01,201,392,585,691
39,386,58,912,628
39_aug00,378,61,863,587
39_aug01,354,74,903,683
