frame_idx,x1,y1,x2,y2
0,372,622,962,1064
0_aug00,570,565,1120,1002
0_aug01,385,23,1017,445
6,704,766,1266,1064
6_aug00,311,753,823,1005
6_aug01,680,761,1259,1064
8,1190,442,1431,819
8_aug00,1203,541,1440,880
8_aug01,1129,121,1390,446
9,1101,280,1424,809
9_aug00,27,320,361,865
9_aug01,0,348,273,896
10,1062,314,1423,877
10_aug00,12,259,346,784
10_aug01,33,226,366,837
11,963,402,1423,981
11_aug00,51,519,564,1064
11_aug01,0,447,462,1019
12,913,456,1429,1019
12_aug00,887,486,1405,1011
12_aug01,0,464,479,1039
13,1059,269,1423,815
13_aug00,1015,332,1391,866
13_aug01,1006,335,1343,843
14,1225,333,1430,808
14_aug00,1225,389,1418,886
14_aug01,1235,375,1439,847
15,1267,314,1408,654
15_aug00,28,218,190,557
15_aug01,45,322,196,659
16,1280,379,1366,543
16_aug00,61,523,148,692
16_aug01,1274,550,1364,709
17,791,786,1296,1064
17_aug00,739,72,1207,312
17_aug01,769,18,1326,235
18,1226,571,1378,759
18_aug00,1224,312,1384,509
18_aug01,1169,626,1315,799
19,1179,575,1407,870
19_aug00,0,546,177,857
19_aug01,1166,668,1421,939
20,692,838,1231,1064
20_aug00,725,824,1285,1042
20_aug01,240,773,752,1032
21,640,737,1189,1064
21_aug00,539,745,1118,1037
21_aug01,683,705,1199,1020
22,615,642,1196,1063
22_aug00,185,645,772,1064
22_aug01,316,650,914,1049
23,636,643,1195,1064
23_aug00,529,638,1163,1027
23_aug01,730,12,1241,430
24,698,574,1249,997
24_aug00,698,0,1286,440
24_aug01,180,599,765,1044
25,728,549,1253,966
25_aug00,661,612,1222,1064
25_aug01,213,571,735,1010
26,758,518,1312,950
26_aug00,757,591,1273,990
26_aug01,757,567,1330,1009
27,1007,379,1397,797
27_aug00,1083,299,1440,750
27_aug01,69,415,436,807
28,883,758,1329,1064
28_aug00,966,737,1404,1064
28_aug01,860,796,1293,1028
29,1057,375,1416,756
29_aug00,0,417,313,826
29_aug01,1072,288,1440,687
30,916,550,1357,948
30_aug00,936,509,1382,919
30_aug01,983,557,1440,999
31,1057,843,1264,1033
31_aug00,102,784,296,998
31_aug01,1022,0,1229,184
32,1048,928,1243,1064
32_aug00,183,920,379,1064
32_aug01,951,987,1139,1045
33,1010,954,1168,1063
33_aug00,221,843,360,957
33_aug01,1097,991,1243,1064
34,951,810,1285,1060
34_aug00,144,806,470,1053
34_aug01,48,752,375,1027
35,905,484,1340,937
35_aug00,982,421,1432,917
35_aug01,979,383,1418,891
36,905,454,1339,884
36_aug00,857,180,1268,590
36_aug01,941,438,1386,890
37,886,476,1332,902
37_aug00,878,526,1367,964
37_aug01,844,550,1263,912
38,820,391,1273,824
38_aug00,274,485,707,852
38_aug01,127,352,602,810
39,866,706,1352,1061
39_aug00,819,723,1282,1034
39_aug01,888,15,1359,365
40,791,395,1236,828
40_aug00,839,370,1267,790
40_aug01,805,237,1260,679
41,784,362,1240,800
41_aug00,271,380,720,797
41_aug01,801,272,1260,744
42,826,363,1261,840
42_aug00,835,446,1270,897
42_aug01,834,280,1228,736
43,836,139,1405,851
43_aug00,99,156,633,822
43_aug01,31,192,618,941
44,757,81,1423,809
44_aug00,12,209,679,989
44_aug01,0,64,673,758
45,712,47,1424,758
45_aug00,29,34,722,852
45_aug01,741,14,1440,779
46,683,28,1423,769
46_aug00,0,0,751,683
46_aug01,25,62,771,842
47,717,0,1427,719
47_aug00,811,0,1440,853
47_aug01,618,24,1394,691
48,799,0,1422,618
48_aug00,22,1,621,555
48_aug01,809,15,1433,652
49,869,0,1424,542
49_aug00,942,10,1406,644
49_aug01,816,85,1373,494
50,899,601,1361,1036
50_aug00,35,64,486,514
50_aug01,934,643,1434,1064
51,935,0,1423,580
51_aug00,23,49,573,481
51_aug01,0,0,432,633
52,987,0,1424,481
52_aug00,1071,30,1440,485
52_aug01,846,57,1306,381
53,1095,0,1428,431
53_aug00,1157,472,1407,959
53_aug01,15,3,360,309
54,1143,0,1421,398
54_aug00,34,0,316,252
54_aug01,19,102,220,534
55,1093,0,1423,470
55_aug00,1084,649,1440,1025
55_aug01,1016,7,1412,362
56,1084,0,1424,670
56_aug00,1165,8,1440,780
56_aug01,38,7,371,700
57,948,0,1423,652
57_aug00,19,0,456,758
57_aug01,2,86,440,742
58,771,0,1422,457
58_aug00,33,665,712,1019
58_aug01,44,48,655,473
59,700,0,1421,416
59_aug00,26,0,777,308
59_aug01,0,0,609,487
60,422,0,1424,463
60_aug00,417,0,1436,432
60_aug01,28,658,1074,1064
61,956,504,1406,913
61_aug00,21,454,464,909
61_aug01,15,400,429,792
62,354,0,1369,442
62_aug00,366,0,1351,426
62_aug01,0,0,1014,445
63,309,0,1301,545
63_aug00,404,0,1380,536
63_aug01,189,2,1188,564
64,282,0,1219,651
64_aug00,205,437,1135,1064
64_aug01,237,358,1241,1032
65,356,0,1218,672
65_aug00,244,415,1099,1064
