frame_idx,x1,y1,x2,y2
0,130,25,716,776
0_aug00,139,385,833,1080
0_aug01,679,0,1311,734
1,154,51,702,712
1_aug00,766,34,1258,711
1_aug01,174,73,693,755
2,181,177,666,731
2_aug00,727,163,1231,746
2_aug01,176,104,686,675
3,436,228,831,645
3_aug00,506,261,894,642
3_aug01,384,252,741,659
4,487,257,857,790
4_aug00,527,248,885,830
4_aug01,447,279,803,818
5,520,305,875,668
5_aug00,494,293,843,626
5_aug01,511,376,863,715
6,444,362,805,878
6_aug00,502,376,863,804
6_aug01,582,368,967,825
7,450,343,800,934
7_aug00,600,305,922,891
7_aug01,639,348,955,941
8,574,379,868,763
8_aug00,533,441,823,791
8_aug01,490,398,784,779
9,610,416,901,890
9_aug00,587,448,908,906
9_aug01,635,398,914,916
10,639,485,907,1015
10_aug00,480,511,739,1016
10_aug01,432,96,693,618
11,714,511,976,868
11_aug00,339,483,627,873
11_aug01,450,447,685,815
12,717,714,996,1077
12_aug00,417,27,725,344
12_aug01,656,746,969,1037
13,719,738,1004,1080
13_aug00,757,749,1025,1059
13_aug01,323,759,629,1069
14,676,369,1360,1079
14_aug00,618,402,1367,1070
14_aug01,577,452,1350,1080
