frame_idx,x1,y1,x2,y2
1,415,338,494,469
1_aug00,333,275,414,403
1_aug01,428,358,507,492
2,369,264,452,411
2_aug00,382,280,464,425
2_aug01,347,296,443,439
3,269,215,415,452
3_aug00,278,280,428,517
3_aug01,300,213,431,441
4,157,227,285,450
4_aug00,109,216,254,458
4_aug01,146,209,274,449
5,309,162,492,419
5_aug00,309,184,477,450
5_aug01,351,178,519,431
14,613,272,767,561
14_aug00,662,255,842,572
14_aug01,100,292,237,560
15,565,131,724,380
15_aug00,171,339,331,586
15_aug01,189,127,336,354
16,521,209,712,551
16_aug00,509,227,708,573
16_aug01,494,199,679,531
17,484,92,658,441
17_aug00,514,144,676,456
17_aug01,195,310,374,675
18,578,301,781,644
18_aug00,107,302,281,613
18_aug01,80,138,260,454
20,547,107,720,377
20_aug00,147,174,317,416
20_aug01,509,40,696,341
21,545,95,756,400
21_aug00,168,52,353,348
21_aug01,112,110,331,415
22,579,175,790,533
22_aug00,569,224,759,553
22_aug01,21,145,222,529
23,582,198,785,541
23_aug00,562,214,807,566
23_aug01,55,149,232,511
25,494,166,691,472
25_aug00,488,143,699,464
25_aug01,181,188,393,480
26,359,140,546,355
26_aug00,271,361,485,572
26_aug01,303,151,506,382
27,370,461,609,720
27_aug00,394,7,631,288
27_aug01,390,453,630,720
29,402,407,614,572
29_aug00,235,368,436,532
29_aug01,364,416,585,592
31,415,465,638,652
31_aug00,398,460,615,640
31_aug01,412,439,619,611
32,402,424,637,639
32_aug00,382,52,638,272
32_aug01,437,411,679,637
35,248,119,576,455
35_aug00,279,88,638,452
35_aug01,244,118,535,428
36,289,172,567,483
36_aug00,294,197,557,479
36_aug01,271,215,539,512
37,308,29,613,301
37_aug00,262,25,553,283
37_aug01,278,23,592,302
38,369,247,741,670
38_aug00,108,254,476,660
38_aug01,118,280,480,679
39,432,269,733,624
39_aug00,136,157,407,486
39_aug01,407,329,713,667
40,428,306,735,657
40_aug00,154,323,435,645
40_aug01,412,318,725,669
42,337,249,463,387
42_aug00,302,237,439,380
42_aug01,346,319,469,441
43,338,469,608,720
43_aug00,258,3,519,251
43_aug01,221,15,509,257
44,329,198,494,389
44_aug00,302,195,453,378
44_aug01,326,206,493,384
45,420,386,701,649
45_aug00,143,362,436,661
45_aug01,147,415,438,652
46,563,323,848,622
46_aug00,0,341,255,661
46_aug01,551,348,830,638
47,624,249,847,609
47_aug00,652,130,850,506
47_aug01,43,140,262,499
48,301,307,357,347
48_aug00,479,263,534,308
48_aug01,499,322,558,364
50,338,282,391,348
50_aug00,338,287,398,357
50_aug01,482,302,533,368
51,217,309,427,505
51_aug00,203,300,410,491
51_aug01,215,302,407,491
55,287,353,504,538
55_aug00,341,189,551,363
55_aug01,350,171,551,339
