frame_idx,x1,y1,x2,y2
0,357,889,633,1020
0_aug00,410,836,669,958
0_aug01,468,877,730,1003
1,381,544,547,681
1_aug00,470,504,655,629
1_aug01,406,522,576,656
2,377,552,547,692
2_aug00,500,507,661,627
2_aug01,434,563,610,729
3,380,605,552,747
3_aug00,385,279,554,428
3_aug01,321,564,506,701
4,384,656,552,792
4_aug00,444,216,613,376
4_aug01,360,651,538,798
5,380,665,549,800
5_aug00,485,632,642,764
5_aug01,372,212,541,339
6,360,841,664,1017
6_aug00,430,33,710,208
6_aug01,313,818,622,999
7,379,683,556,816
7_aug00,396,680,574,806
7_aug01,388,670,567,793
8,385,657,551,795
8_aug00,434,649,608,807
8_aug01,465,675,612,808
9,380,660,547,799
9_aug00,429,691,587,834
9_aug01,359,221,535,349
10,381,696,545,827
10_aug00,321,724,485,841
10_aug01,515,748,697,881
11,377,697,543,827
11_aug00,366,707,518,817
11_aug01,521,678,690,801
12,377,701,543,828
12_aug00,432,673,595,814
12_aug01,475,686,641,829
13,381,697,541,821
13_aug00,408,690,554,806
13_aug01,551,666,703,777
14,379,691,543,819
14_aug00,473,709,624,844
14_aug01,355,652,511,762
15,379,696,544,820
15_aug00,567,674,737,787
15_aug01,462,695,608,819
16,376,716,537,837
16_aug00,514,696,674,807
16_aug01,415,748,577,870
17,356,841,653,1019
17_aug00,301,836,615,1009
17_aug01,340,842,648,1013
18,376,719,541,837
18_aug00,336,672,505,790
18_aug01,449,133,618,270
19,383,713,545,833
19_aug00,547,664,700,773
19_aug01,480,216,627,325
20,377,725,541,840
20_aug00,433,178,587,289
20_aug01,415,721,564,829
21,385,707,551,825
21_aug00,413,219,579,351
21_aug01,452,664,612,788
22,391,701,553,817
22_aug00,403,715,550,832
22_aug01,496,717,647,821
23,384,695,553,817
23_aug00,442,713,593,836
23_aug01,404,659,565,789
24,385,687,553,805
24_aug00,502,232,682,353
24_aug01,442,645,605,768
25,385,692,548,811
25_aug00,440,692,602,824
25_aug01,438,708,583,833
26,380,695,551,817
26_aug00,449,723,618,854
26_aug01,391,671,565,805
27,388,679,552,805
27_aug00,525,701,684,814
27_aug01,500,266,654,375
28,345,868,645,1019
28_aug00,367,875,668,1024
28_aug01,327,899,635,1024
29,387,676,553,800
29_aug00,539,699,695,806
29_aug01,432,641,586,762
30,380,704,548,819
30_aug00,476,721,643,848
30_aug01,417,693,593,824
31,372,717,544,833
31_aug00,361,690,533,801
31_aug01,450,746,623,862
32,368,736,540,857
32_aug00,501,696,663,812
32_aug01,476,776,657,905
33,365,725,535,843
33_aug00,329,666,487,786
33_aug01,385,155,567,282
34,361,735,536,848
34_aug00,485,702,650,811
34_aug01,255,749,440,882
35,367,739,535,847
35_aug00,454,174,623,287
35_aug01,533,727,697,836
36,371,739,539,853
36_aug00,488,712,650,821
36_aug01,490,126,676,253
37,371,748,535,856
37_aug00,522,706,680,816
37_aug01,543,719,702,827
38,367,747,533,855
38_aug00,508,712,665,814
38_aug01,430,800,610,921
39,336,879,639,1019
39_aug00,391,838,683,974
39_aug01,301,849,598,1003
40,368,741,532,857
40_aug00,280,716,457,849
40_aug01,374,717,553,846
41,367,743,537,851
41_aug00,490,685,647,784
41_aug01,333,779,515,899
42,368,743,535,856
42_aug00,282,743,457,873
42_aug01,349,175,507,289
43,372,748,536,860
43_aug00,405,770,575,889
43_aug01,480,785,646,898
44,369,744,537,859
44_aug00,490,723,665,844
44_aug01,491,696,650,806
45,368,747,537,859
45_aug00,421,779,599,897
45_aug01,546,698,716,820
46,369,745,533,855
46_aug00,349,705,519,826
46_aug01,424,745,577,846
47,369,735,539,847
47_aug00,374,729,557,849
47_aug01,393,203,557,314
48,367,723,536,837
48_aug00,488,761,671,887
48_aug01,323,206,494,323
49,361,728,527,844
49_aug00,519,766,692,891
49_aug01,375,706,524,815
50,321,880,627,1019
50_aug00,443,910,767,1024
50_aug01,446,34,741,202
51,361,765,516,875
51_aug00,409,813,573,928
51_aug01,276,737,440,863
52,357,765,513,868
52_aug00,578,746,742,865
52_aug01,378,777,540,885
53,355,768,516,872
53_aug00,315,742,474,852
53_aug01,345,820,514,930
54,359,764,515,863
54_aug00,302,774,460,878
54_aug01,484,747,643,851
55,356,756,508,860
55_aug00,544,133,709,244
55_aug01,428,735,578,838
56,353,755,513,855
56_aug00,293,758,469,871
56_aug01,305,183,478,293
57,355,753,512,853
57_aug00,443,158,604,264
57_aug01,498,774,658,877
58,357,749,513,856
58_aug00,562,769,720,886
58_aug01,334,748,503,865
59,359,756,513,857
59_aug00,374,775,514,868
59_aug01,554,735,708,844
60,360,765,513,861
60_aug00,397,802,554,903
60_aug01,379,802,532,899
61,324,883,623,1019
61_aug00,264,906,566,1024
61_aug01,423,851,699,978
62,360,764,516,867
62_aug00,407,739,568,844
62_aug01,555,703,698,804
63,361,765,517,868
63_aug00,503,809,662,911
63_aug01,332,708,482,820
64,361,764,515,864
64_aug00,281,738,444,850
64_aug01,414,825,580,930
65,363,769,517,871
65_aug00,443,749,603,857
65_aug01,520,160,667,262
66,363,767,517,871
66_aug00,504,807,671,923
66_aug01,447,779,595,883
67,363,771,519,873
67_aug00,501,123,654,228
67_aug01,435,771,595,877
68,365,776,519,871
68_aug00,366,761,531,865
68_aug01,419,776,585,882
69,364,773,517,875
69_aug00,433,762,580,860
69_aug01,312,778,459,887
70,365,776,523,880
70_aug00,443,179,601,284
70_aug01,429,809,604,927
71,367,773,524,873
71_aug00,429,139,581,235
71_aug01,543,801,696,900
72,323,883,613,1019
72_aug00,330,807,594,944
72_aug01,392,53,674,184
73,365,776,523,873
73_aug00,494,735,647,829
73_aug01,418,122,570,218
74,367,775,521,876
74_aug00,497,790,666,901
74_aug01,414,797,581,910
75,365,776,523,877
75_aug00,445,172,586,266
75_aug01,535,755,700,866
76,363,777,517,880
