frame_idx,x1,y1,x2,y2
24,10,0,1109,469
24_aug00,74,43,1166,374
24_aug01,265,19,1379,495
25,10,0,1097,468
25_aug00,413,522,1311,1043
25_aug01,336,503,1280,987
26,10,0,1106,474
26_aug00,243,54,1361,402
26_aug01,205,0,1380,329
27,130,2,851,232
27_aug00,717,0,1232,131
27_aug01,156,0,797,283
28,162,1,713,208
28_aug00,216,26,741,194
28_aug01,791,35,1197,170
29,159,1,708,217
29_aug00,241,20,816,160
29_aug01,783,67,1272,351
30,171,2,689,204
30_aug00,665,33,1169,176
30_aug01,721,36,1238,153
31,170,0,679,204
31_aug00,106,32,607,234
31_aug01,199,0,697,121
32,155,0,676,217
32_aug00,183,57,657,324
32_aug01,158,0,667,171
33,162,0,669,213
33_aug00,156,4,683,145
33_aug01,598,11,1128,166
34,152,0,689,242
34_aug00,66,895,661,1074
34_aug01,163,0,748,147
35,131,0,682,249
35_aug00,648,20,1220,259
35_aug01,753,0,1305,319
36,133,3,680,262
36_aug00,61,752,614,1080
36_aug01,243,83,772,247
37,167,0,686,259
37_aug00,667,21,1159,188
37_aug01,739,0,1250,240
38,143,0,681,271
38_aug00,162,754,649,1015
38_aug01,169,32,673,322
39,107,51,599,349
39_aug00,698,14,1220,279
39_aug01,848,85,1327,432
40,88,95,556,396
40_aug00,173,126,594,406
40_aug01,214,72,652,312
41,81,159,522,444
41_aug00,790,86,1263,366
41_aug01,855,172,1311,503
42,150,165,504,438
42_aug00,878,633,1208,873
42_aug01,154,118,540,383
43,74,155,525,452
43_aug00,867,215,1280,499
43_aug01,0,126,479,448
44,34,169,519,580
44_aug00,116,218,541,626
44_aug01,69,111,570,443
45,34,173,516,577
45_aug00,62,243,475,635
45_aug01,0,105,539,489
46,70,218,521,517
46_aug00,810,228,1220,509
46_aug01,806,156,1236,414
47,99,249,544,541
47_aug00,816,316,1220,619
47_aug01,849,614,1362,920
48,94,300,563,623
48_aug00,863,359,1306,691
48_aug01,66,303,547,656
49,108,348,606,676
49_aug00,91,348,599,680
49_aug01,728,387,1194,701
50,107,423,647,854
50_aug00,125,414,624,919
50_aug01,677,460,1208,914
51,108,418,672,832
51_aug00,717,434,1275,815
51_aug01,667,416,1200,918
52,111,435,646,832
52_aug00,697,475,1219,949
52_aug01,92,445,623,924
53,111,420,709,842
53_aug00,187,395,743,751
53_aug01,187,163,731,607
54,113,436,638,838
54_aug00,221,301,694,669
54_aug01,61,424,602,744
55,109,436,634,840
55_aug00,173,431,608,860
55_aug01,768,439,1263,777
56,111,422,643,823
56_aug00,85,443,583,902
56_aug01,694,162,1141,608
57,136,447,617,751
57_aug00,158,445,607,745
57_aug01,770,433,1210,739
58,100,397,559,727
58_aug00,118,385,598,716
58_aug01,152,368,602,711
59,82,398,556,802
59_aug00,31,352,556,769
59_aug01,70,388,559,804
60,83,357,525,667
60_aug00,155,319,560,666
60_aug01,149,468,512,796
61,65,318,487,640
61_aug00,116,394,501,743
61_aug01,938,356,1349,684
62,35,273,464,763
62_aug00,863,199,1343,642
62_aug01,63,318,476,821
63,35,296,466,642
63_aug00,32,213,493,575
63_aug01,939,292,1351,617
64,53,300,481,648
64_aug00,1,318,417,708
64_aug01,880,533,1296,836
65,51,358,507,843
65_aug00,852,318,1368,782
65_aug01,89,352,543,846
66,62,358,500,718
66_aug00,889,399,1305,789
66_aug01,850,334,1309,721
67,57,348,495,722
67_aug00,0,258,460,643
67_aug01,888,313,1364,710
68,53,362,488,846
68_aug00,65,418,483,983
68_aug01,893,382,1356,890
69,55,367,468,730
69_aug00,0,354,408,753
69_aug01,98,372,480,734
70,39,354,448,723
70_aug00,914,251,1358,624
70_aug01,55,310,463,627
71,38,355,422,811
71_aug00,937,238,1284,693
71_aug01,939,298,1356,753
72,35,372,404,711
72_aug00,0,343,369,690
72_aug01,17,371,380,704
73,64,374,410,714
73_aug00,56,418,393,800
73_aug01,0,448,342,826
74,35,354,406,783
74_aug00,82,265,477,618
74_aug01,14,301,416,675
75,48,379,474,736
75_aug00,16,373,477,751
75_aug01,34,429,427,783
76,87,377,636,761
76_aug00,104,421,620,778
76_aug01,773,377,1380,787
77,105,328,849,852
77_aug00,554,297,1360,767
77_aug01,568,370,1281,861
78,141,134,1202,831
78_aug00,195,106,1219,777
78_aug01,223,103,1241,915
79,134,124,1231,841
79_aug00,175,90,1316,741
79_aug01,186,100,1246,787
80,87,0,1357,968
80_aug00,66,55,1258,858
80_aug01,132,1,1380,988
81,64,3,1357,1002
81_aug00,18,8,1341,965
81_aug01,59,15,1309,1058
82,58,78,1361,1080
82_aug00,43,47,1370,1080
82_aug01,48,97,1310,1045
83,75,406,809,883
83_aug00,0,389,777,895
83_aug01,571,391,1319,972
84,78,431,815,865
84_aug00,568,471,1235,956
84_aug01,537,350,1265,695
85,65,405,806,854
85_aug00,80,404,789,822
85_aug01,117,409,803,945
