frame_idx,x1,y1,x2,y2
0,102,43,687,539
0_aug00,80,61,699,580
0_aug01,107,36,700,538
1,164,88,581,459
1_aug00,161,66,578,467
1_aug01,191,89,563,472
2,10,12,688,523
2_aug00,22,158,700,692
2_aug01,22,181,674,669
3,35,24,671,515
3_aug00,41,209,700,697
3_aug01,104,37,680,530
4,36,10,688,454
4_aug00,14,0,700,476
4_aug01,0,0,672,460
5,43,11,688,459
5_aug00,0,0,656,481
5_aug01,70,277,696,696
6,108,11,689,422
6_aug00,126,41,678,431
6_aug01,0,17,539,417
7,110,11,688,494
7_aug00,28,16,556,447
7_aug01,0,274,571,720
8,150,12,688,501
8_aug00,0,0,541,489
8_aug01,77,39,556,513
9,200,160,688,565
9_aug00,0,126,507,544
9_aug01,183,139,657,533
10,192,36,688,519
10_aug00,191,51,700,551
10_aug01,194,45,655,495
11,251,23,687,463
11_aug00,1,9,427,434
11_aug01,1,1,455,440
12,64,14,630,415
12_aug00,36,0,637,392
12_aug01,100,39,632,431
13,9,11,689,534
13_aug00,4,14,656,546
13_aug01,28,16,694,567
14,9,11,480,449
14_aug00,209,39,656,419
14_aug01,17,58,452,481
15,10,10,451,472
15_aug00,25,216,465,707
15_aug01,276,3,696,450
16,8,73,451,591
16_aug00,269,153,684,639
16_aug01,247,69,698,601
17,46,172,547,598
17_aug00,154,198,668,633
17_aug01,57,183,522,578
18,35,116,510,551
18_aug00,167,121,681,588
18_aug01,181,109,627,518
19,51,225,520,627
19_aug00,172,199,678,670
19_aug01,9,193,512,594
20,7,60,470,510
20_aug00,215,35,672,478
20_aug01,221,59,682,522
21,9,11,509,378
21_aug00,192,359,651,696
21_aug01,56,40,504,402
22,30,12,529,395
22_aug00,196,293,700,702
22_aug01,159,287,671,692
23,9,12,518,437
23_aug00,31,272,553,695
23_aug01,224,294,700,712
24,60,11,688,499
24_aug00,114,59,684,522
24_aug01,16,218,676,720
25,9,11,501,450
25_aug00,0,0,539,445
25_aug01,239,37,700,465
26,62,12,558,581
26_aug00,98,0,640,593
26_aug01,176,33,603,605
27,8,10,562,425
27_aug00,212,30,695,456
27_aug01,38,16,557,439
28,9,11,611,388
28_aug00,55,5,688,413
28_aug01,26,6,628,410
29,121,12,689,330
29_aug00,14,0,585,305
29_aug01,32,38,555,347
30,144,11,688,308
30_aug00,166,417,700,720
30_aug01,57,71,548,338
31,128,10,687,321
31_aug00,127,45,658,356
31_aug01,17,14,543,331
32,83,12,688,372
32_aug00,84,26,610,409
32_aug01,71,40,629,427
33,111,11,688,393
33_aug00,15,0,596,404
33_aug01,31,39,589,408
34,107,10,688,407
34_aug00,134,43,674,442
34_aug01,18,315,561,704
35,44,10,684,446
35_aug00,84,34,700,438
35_aug01,29,25,647,448
36,52,13,687,416
36_aug00,0,7,610,385
36_aug01,19,35,635,419
37,139,12,689,372
37_aug00,0,0,554,392
37_aug01,118,0,667,403
38,79,10,686,321
38_aug00,79,0,700,309
38_aug01,81,7,700,317
39,105,11,688,419
39_aug00,62,1,594,399
39_aug01,27,48,566,465
40,163,12,688,375
40_aug00,23,25,551,391
40_aug01,43,26,538,364
41,115,10,688,356
41_aug00,128,37,673,370
41_aug01,0,0,559,331
42,161,12,687,345
42_aug00,186,341,700,669
42_aug01,174,4,700,350
43,161,12,688,334
43_aug00,144,0,682,313
43_aug01,23,18,522,345
44,109,13,687,333
44_aug00,140,43,655,375
44_aug01,106,24,697,380
45,56,12,688,482
45_aug00,46,16,700,471
45_aug01,35,221,670,711
46,75,69,676,517
46_aug00,23,194,665,638
46_aug01,90,94,659,515
47,276,149,687,458
47_aug00,0,262,391,629
47_aug01,291,111,666,431
48,123,54,586,376
48_aug00,85,49,532,424
48_aug01,139,34,565,358
49,139,77,596,387
49_aug00,145,86,575,392
49_aug01,65,94,538,418
50,214,77,527,409
50_aug00,183,89,475,386
50_aug01,144,110,469,399
52,294,177,660,439
52_aug00,7,154,401,451
52_aug01,73,193,431,457
53,290,138,647,410
53_aug00,23,157,420,465
53_aug01,289,108,605,391
57,107,83,657,499
57_aug00,0,83,599,471
57_aug01,57,190,600,623
61,58,73,636,462
61_aug00,33,57,685,444
61_aug01,58,100,592,462
62,163,101,611,474
62_aug00,144,114,637,481
62_aug01,43,114,549,449
